ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language
aar,aa,Afar,afar,Danakil-Sprache
abk,ab,Abkhazian,abkhaze,Abchasisch
ace,,Achinese,aceh,Aceh-Sprache
ach,,Acoli,acoli,Acholi-Sprache
ada,,Adangme,adangme,Adangme-Sprache
ady,,Adyghe; Adygei,adygh¨¦,Adygisch
afa,,Afro-Asiatic languages,"afro-asiatiques, langues",Hamitosemitische Sprachen (Andere)
afh,,Afrihili,afrihili,Afrihili
afr,af,Afrikaans,afrikaans,Afrikaans
ain,,Ainu,a?nou,Ainu-Sprache
aka,ak,Akan,akan,Akan-Sprache
akk,,Akkadian,akkadien,Akkadisch
alb (B),sq,Albanian,albanais,Albanisch
sqi (T),,,,
ale,,Aleut,al¨¦oute,Aleutisch
alg,,Algonquian languages,"algonquines, langues",Algonkin-Sprachen (Andere)
alt,,Southern Altai,altai du Sud,Altaisch
amh,am,Amharic,amharique,Amharisch
ang,,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100),Altenglisch
anp,,Angika,angika,Anga-Sprache
apa,,Apache languages,"apaches, langues",Apachen-Sprachen
ara,ar,Arabic,arabe,Arabisch
arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),aram¨¦en d'empire (700-300 BCE),Aram?isch
arg,an,Aragonese,aragonais,Aragonesisch
arm (B),hy,Armenian,arm¨¦nien,Armenisch
hye (T),,,,
arn,,Mapudungun; Mapuche,mapudungun; mapuche; mapuce,Arauka-Sprachen
arp,,Arapaho,arapaho,Arapaho-Sprache
art,,Artificial languages,"artificielles, langues",Kunstsprachen (Andere)
arw,,Arawak,arawak,Arawak-Sprachen
asm,as,Assamese,assamais,Assamesisch
ast,,Asturian; Bable; Leonese; Asturleonese,asturien; bable; l¨¦onais; asturol¨¦onais,Asturisch
ath,,Athapascan languages,"athapascanes, langues",Athapaskische Sprachen (Andere)
aus,,Australian languages,"australiennes, langues",Australische Sprachen
ava,av,Avaric,avar,Awarisch
ave,ae,Avestan,avestique,Avestisch
awa,,Awadhi,awadhi,Awadhi
aym,ay,Aymara,aymara,Aymar¨¢-Sprache
aze,az,Azerbaijani,az¨¦ri,Aserbeidschanisch
bad,,Banda languages,"banda, langues",Banda-Sprachen (Ubangi-Sprachen)
bai,,Bamileke languages,"bamil¨¦k¨¦, langues",Bamileke-Sprachen
bak,ba,Bashkir,bachkir,Baschkirisch
bal,,Baluchi,baloutchi,Belutschisch
bam,bm,Bambara,bambara,Bambara-Sprache
ban,,Balinese,balinais,Balinesisch
baq (B),eu,Basque,basque,Baskisch
eus (T),,,,
bas,,Basa,basa,Basaa-Sprache
bat,,Baltic languages,"baltes, langues",Baltische Sprachen (Andere)
bej,,Beja; Bedawiyet,bedja,Bedauye
bel,be,Belarusian,bi¨¦lorusse,Wei?russisch
bem,,Bemba,bemba,Bemba-Sprache
ben,bn,Bengali,bengali,Bengali
ber,,Berber languages,"berb¨¨res, langues",Berbersprachen (Andere)
bho,,Bhojpuri,bhojpuri,Bhojpuri
bih,bh,Bihari languages,langues biharis,Bihari (Andere)
bik,,Bikol,bikol,Bikol-Sprache
bin,,Bini; Edo,bini; edo,Edo-Sprache
bis,bi,Bislama,bichlamar,Beach-la-mar
bla,,Siksika,blackfoot,Blackfoot-Sprache
bnt,,Bantu languages,"bantou, langues",Bantusprachen (Andere)
tib (B),bo,Tibetan,tib¨¦tain,Tibetisch
bod (T),,,,
bos,bs,Bosnian,bosniaque,Bosnisch
bra,,Braj,braj,Braj-Bhakha
bre,br,Breton,breton,Bretonisch
btk,,Batak languages,"batak, langues",Batak-Sprache
bua,,Buriat,bouriate,Burjatisch
bug,,Buginese,bugi,Bugi-Sprache
bul,bg,Bulgarian,bulgare,Bulgarisch
bur (B),my,Burmese,birman,Birmanisch
mya (T),,,,
byn,,Blin; Bilin,blin; bilen,Bilin-Sprache
cad,,Caddo,caddo,Caddo-Sprachen
cai,,Central American Indian languages,"am¨¦rindiennes de l'Am¨¦rique centrale, langues","Indianersprachen, Zentralamerika (Andere)"
car,,Galibi Carib,karib; galibi; carib,Karibische Sprachen
cat,ca,Catalan; Valencian,catalan; valencien,Katalanisch
cau,,Caucasian languages,"caucasiennes, langues",Kaukasische Sprachen (Andere)
ceb,,Cebuano,cebuano,Cebuano
cel,,Celtic languages,"celtiques, langues; celtes, langues",Keltische Sprachen (Andere)
cze (B),cs,Czech,tch¨¨que,Tschechisch
ces (T),,,,
cha,ch,Chamorro,chamorro,Chamorro-Sprache
chb,,Chibcha,chibcha,Chibcha-Sprachen
che,ce,Chechen,tch¨¦tch¨¨ne,Tschetschenisch
chg,,Chagatai,djaghata?,Tschagataisch
chi (B),zh,Chinese,chinois,Chinesisch
zho (T),,,,
chk,,Chuukese,chuuk,Trukesisch
chm,,Mari,mari,Tscheremissisch
chn,,Chinook jargon,"chinook, jargon",Chinook-Jargon
cho,,Choctaw,choctaw,Choctaw-Sprache
chp,,Chipewyan; Dene Suline,chipewyan,Chipewyan-Sprache
chr,,Cherokee,cherokee,Cherokee-Sprache
chu,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'¨¦glise; vieux slave; slavon liturgique; vieux bulgare,Kirchenslawisch
chv,cv,Chuvash,tchouvache,Tschuwaschisch
chy,,Cheyenne,cheyenne,Cheyenne-Sprache
cmc,,Chamic languages,"chames, langues",Cham-Sprachen
cop,,Coptic,copte,Koptisch
cor,kw,Cornish,cornique,Kornisch
cos,co,Corsican,corse,Korsisch
cpe,,"Creoles and pidgins, English based",cr¨¦oles et pidgins bas¨¦s sur l'anglais,Kreolisch-Englisch (Andere)
cpf,,"Creoles and pidgins, French-based",cr¨¦oles et pidgins bas¨¦s sur le fran?ais,Kreolisch-Franz?sisch (Andere)
cpp,,"Creoles and pidgins, Portuguese-based",cr¨¦oles et pidgins bas¨¦s sur le portugais,Kreolisch-Portugiesisch (Andere)
cre,cr,Cree,cree,Cree-Sprache
crh,,Crimean Tatar; Crimean Turkish,tatar de Crim¨¦,Krimtatarisch
crp,,Creoles and pidgins,cr¨¦oles et pidgins,Kreolische Sprachen; Pidginsprachen (Andere)
csb,,Kashubian,kachoube,Kaschubisch
cus,,Cushitic languages,"couchitiques, langues",Kuschitische Sprachen (Andere)
wel (B),cy,Welsh,gallois,Kymrisch
cym (T),,,,
cze (B),cs,Czech,tch¨¨que,Tschechisch
ces (T),,,,
dak,,Dakota,dakota,Dakota-Sprache
dan,da,Danish,danois,D?nisch
dar,,Dargwa,dargwa,Darginisch
day,,Land Dayak languages,"dayak, langues",Dajakisch
del,,Delaware,delaware,Delaware-Sprache
den,,Slave (Athapascan),esclave (athapascan),Slave-Sprache
ger (B),de,German,allemand,Deutsch
deu (T),,,,
dgr,,Dogrib,dogrib,Dogrib-Sprache
