#Length	Actual Number
1	0.1
2	0.12
3	0.123
4	0.1234
5	0.12345
6	0.123456
7	0.1234567
8	0.12345678
9	0.123456789
10	0.1234567890
11	0.12345678901
12	0.123456789012
13	0.1234567890123
14	0.12345678901234
15	0.123456789012345
16	0.1234567890123456
17	0.12345678901234567
18	0.123456789012345678
19	0.1234567890123456789
20	0.12345678901234567890
21	0.123456789012345678901
22	0.1234567890123456789012
23	0.12345678901234567890123
24	0.123456789012345678901234
25	0.1234567890123456789012345
26	0.12345678901234567890123456
27	0.123456789012345678901234567
28	0.1234567890123456789012345678
29	0.12345678901234567890123456789
30	0.123456789012345678901234567890
31	0.1234567890123456789012345678901
32	0.12345678901234567890123456789012
33	0.123456789012345678901234567890123
34	0.1234567890123456789012345678901234
35	0.12345678901234567890123456789012345
36	0.123456789012345678901234567890123456
37	0.1234567890123456789012345678901234567
38	0.12345678901234567890123456789012345678
39	0.123456789012345678901234567890123456789
40	0.1234567890123456789012345678901234567890
41	0.12345678901234567890123456789012345678901
42	0.123456789012345678901234567890123456789012
43	0.1234567890123456789012345678901234567890123
44	0.12345678901234567890123456789012345678901234
45	0.123456789012345678901234567890123456789012345
46	0.1234567890123456789012345678901234567890123456
47	0.12345678901234567890123456789012345678901234567
48	0.123456789012345678901234567890123456789012345678
49	0.1234567890123456789012345678901234567890123456789
50	0.12345678901234567890123456789012345678901234567890
