Package 	Item 	Title 	csv 	doc
datasets	AirPassengers	Monthly Airline Passenger Numbers 1949-1960	CSV	DOC
datasets	BJsales	Sales Data with Leading Indicator	CSV	DOC
datasets	BOD	Biochemical Oxygen Demand	CSV	DOC
datasets	Formaldehyde	Determination of Formaldehyde	CSV	DOC
datasets	HairEyeColor	Hair and Eye Color of Statistics Students	CSV	DOC
datasets	InsectSprays	Effectiveness of Insect Sprays	CSV	DOC
datasets	JohnsonJohnson	Quarterly Earnings per Johnson & Johnson Share	CSV	DOC
datasets	LakeHuron	Level of Lake Huron 1875-1972	CSV	DOC
datasets	LifeCycleSavings	Intercountry Life-Cycle Savings Data	CSV	DOC
datasets	Nile	Flow of the River Nile	CSV	DOC
datasets	OrchardSprays	Potency of Orchard Sprays	CSV	DOC
datasets	PlantGrowth	Results from an Experiment on Plant Growth	CSV	DOC
datasets	Puromycin	Reaction Velocity of an Enzymatic Reaction	CSV	DOC
datasets	Titanic	Survival of passengers on the Titanic	CSV	DOC
datasets	ToothGrowth	The Effect of Vitamin C on Tooth Growth in Guinea Pigs	CSV	DOC
datasets	UCBAdmissions	Student Admissions at UC Berkeley	CSV	DOC
datasets	UKDriverDeaths	Road Casualties in Great Britain 1969-84	CSV	DOC
datasets	UKgas	UK Quarterly Gas Consumption	CSV	DOC
datasets	USAccDeaths	Accidental Deaths in the US 1973-1978	CSV	DOC
datasets	USArrests	Violent Crime Rates by US State	CSV	DOC
datasets	USJudgeRatings	Lawyers' Ratings of State Judges in the US Superior Court	CSV	DOC
datasets	USPersonalExpenditure	Personal Expenditure Data	CSV	DOC
datasets	VADeaths	Death Rates in Virginia (1940)	CSV	DOC
datasets	WWWusage	Internet Usage per Minute	CSV	DOC
datasets	WorldPhones	The World's Telephones	CSV	DOC
datasets	airmiles	Passenger Miles on Commercial US Airlines, 1937-1960	CSV	DOC
datasets	airquality	New York Air Quality Measurements	CSV	DOC
datasets	anscombe	Anscombe's Quartet of 'Identical' Simple Linear Regressions	CSV	DOC
datasets	attenu	The Joyner-Boore Attenuation Data	CSV	DOC
datasets	attitude	The Chatterjee-Price Attitude Data	CSV	DOC
datasets	austres	Quarterly Time Series of the Number of Australian Residents	CSV	DOC
datasets	cars	Speed and Stopping Distances of Cars	CSV	DOC
datasets	chickwts	Chicken Weights by Feed Type	CSV	DOC
datasets	co2	Mauna Loa Atmospheric CO2 Concentration	CSV	DOC
datasets	crimtab	Student's 3000 Criminals Data	CSV	DOC
datasets	discoveries	Yearly Numbers of Important Discoveries	CSV	DOC
datasets	esoph	Smoking, Alcohol and (O)esophageal Cancer	CSV	DOC
datasets	euro	Conversion Rates of Euro Currencies	CSV	DOC
